name,name_kr,bre_name,country,category,style,abv,image
Juliet,,Goose Island Beer Co.,US,ALE,Belgian Wild Ale,7.1,juliet.jpg
Weizen,,Jespi - Jeju Beer Land,KR,WEIZEN,Hefeweizen,5,jw.png
Surf Man APA,,Korea Craft Brewery,KR,ALE,American Pale Ale (APA),5,kcsm.jpeg
Kukmin Fresh,국민 프레시,The Booth Brewing,KR,ALE,Session IPA,5,kf.jpg
Kukmin IPA,국민 IPA,The Booth Brewing,KR,ALE,India Pale Ale,6.5,ki.jpg
Kieuk IPA,ㅋ IPA (장기하맥주),The Booth Brewing,KR,ALE,Session IPA,4.5,kie.jpg
King Kong Imperial Stout,,Gorilla Brewing Company,KR,STOUT,Russian Imperial Stout,12,kkis.jpg
Kloud Original Gravity,클라우드,Lotte Liquor,KR,PILSNER,German Pilsner,5,kloud.jpg
Kloud Draft Original Gravity,클라우드 생 드래프트,Lotte Liquor,KR,LAGER,Lager,4.5,klouddraft.jpg
Korea Pale Ale,코리아 페일 에일,7brau,KR,LAGER,Pale Lager,4.5,koreapaleale.jpg
KPA,,Gorilla Brewing Company,KR,ALE,Pale Ale,5.5,kpa.jpg
Spring Rain Ale,봄비 에일,The Booth Brewing,KR,ALE,Kolsch Style Ale,5,ksa.jpg
K-Weiss,,The Hand and Malt Brewing Company,KR,ALE,Sour Ale,4,k-weiss.jpg
Last Night,,Korea Craft Brewery,KR,ALE,Pale Ale,5,lastnight.png
Lazy Sunday,,Amazing Brewing Company,KR,LAGER,Pale Lager,4.6,lazy.jpg
Leffe Blonde,레페 블론드,Abbaye de Leffe S.A.,BE,ALE,Belgian Blonde Ale,6.5,leffeblonde.jpg
Leffe Brown,레페 브라운,Abbaye de Leffe S.A.,BE,ALE,Belgian Dark Ale,6.5,leffebrown.jpg
LGBTQ Smoothie IPA,,The Booth Brewing,KR,ALE,Smoothie IPA,7.4,lgbtq.jpg
Lifetime Pale Ale,인생 페일에일,The Booth Brewing,KR,ALE,American Pale Ale (APA),5,life.jpg
Lighthouse Blonde,라이트하우스 블론드,Galmegi Brewing,KR,ALE,Belgian Blonde Ale,4.5,lighthouse.png
Lightning,번개,Magpie Brewing,KR,ETC,Pumpkin Beer,9,lightning.jpg
Lolita,,Goose Island Beer Co.,US,ALE,Belgian Wild Ale,7.5,lolita.jpg
Lowenbrau,레벤브로이,October Fest,DE,ETC,German Helles,5.2,Lowenbrau.jpg
Mango Lingo,망고링고,Hite Brewery Company LTD,KR,ETC,Fruit and Field Beer,2.5,mangolingo.png
Matilda,,Goose Island Beer Co.,US,ALE,Belgian Pale Ale,7,matilda.jpg
Mawang Imperial Stout,마왕 임페이얼 스타우트,The Hand and Malt Brewing Company,KR,STOUT,Stout,9.5,mawang.jpg
Max,맥스,Hite Brewery Company LTD,KR,LAGER,American Adjunct Lager,4.5,max.png
Mint Chocolate Rye Porter,민트초코 라이포터,The Booth Brewing,KR,PORTER,Porter,5.2,mcr.jpg
Mill Ddang,밀땅,Amazing Brewing Company,KR,WEIZEN,Hefeweizen,5.5,mil.jpg
Muke Session Mild IPA,무케 세션 순한 IPA,Platinum Craft Beer,KR,ALE,India Pale Ale,4.7,mild.jpg
Miller Genuine Draft,밀러 제뉴인 드래프트,Miller Brewing Co.,US,LAGER,American Adjunct Lager,4.66,miller.jpg
IPA,맥파이 아이피에이,Magpie Brewing,KR,ALE,American IPA,6.5,mipa.jpg
Kolsch,맥파이 쾰시,Magpie Brewing,KR,ETC,Kolsch,4.8,mkolsch.png
Mocha Stout,,The Hand and Malt Brewing Company,KR,STOUT,American Stout,5,mocha.jpg
MomoAle,모모에일,Weizenhaus,KR,ALE,Pale Ale,4.5,momoale.png
Moonrise Pale Ale,문라이즈 페일에일,Galmegi Brewing,KR,ALE,American Pale Ale (APA),5,moon.jpg
